SPY
QQQ
IWM
DIA
VTI
AAPL
MSFT
NVDA
GOOGL
AMZN
META
TSLA
BRK-B
LLY
UNH
JPM
V
MA
AVGO
COST
MSFT
AAPL
NVDA
AVGO
CRM
JPM
BAC
WFC
MS
GS
LLY
UNH
JNJ
ABBV
MRK
AMZN
TSLA
HD
MCD
NKE
XOM
CVX
COP
SLB
EOG
GE
CAT
HON
UNP
RTX
PG
COST
PEP
KO
WMT
NEE
SO
DUK
CEG
AEP
PLD
AMT
EQIX
WELL
SPG
LIN
SHW
APD
FCX
NEM
META
GOOGL
NFLX
DIS
VZ
PLTR
SNOW
MSTR
COIN
ARM
SQ
SHOP
U
SE
DASH
HOOD
ROKU
PATH
AI
ZS
EFA
VWO
ARKK
SMH
GLD
TLT
XBI
KWEB
TAN
URNM
